Area	Bairro	Cidade	Endereco	Estado	Latitude	Longitude	Quartos	Suites	Vagas	Tipo	Transacao	Valor
222	Recreio dos Bandeirantes	Rio de Janeiro	Rua Professor Hermes Lima	RJ	-23.023215	-43.4590496	4	2	4	Apartamento	Venda	1500000
70	Vidigal	Rio de Janeiro	Avenida Niemeyer	RJ	-22.9936095	-43.2339034	3	0	1	Apartamento	Venda	2300000
130	Ipanema	Rio de Janeiro	Rua Teixeira de Melo	RJ	-22.985368	-43.1987716	3	1	2	Apartamento	Venda	1460000
136	Gávea	Rio de Janeiro	Rua Marques de Sao Vicente	RJ	-22.9771863	-43.2308106	3	1	2	Apartamento	Venda	1800000
53	Andaraí	Rio de Janeiro	Rua Gastão Penalva	RJ	-22.9267666	-43.2525968	2	1	1	Apartamento	Venda	311990
59	Laranjeiras	Rio de Janeiro	Rua das Laranjeiras 435 Bloco B Apt 1101	RJ	-14.235004	-51.92528	2	1	1	Apartamento	Venda	660000
185	Copacabana	Rio de Janeiro	Rua Figueiredo Magalhães	RJ	-22.9705243	-43.1852932	3	1	0	Apartamento	Venda	1600000
106	Barra da Tijuca	Rio de Janeiro	Avenida Ruy Antunes Correa	RJ	-22.9990708	-43.4178323	4	2	2	Apartamento	Venda	849000
158	Barra da Tijuca	Rio de Janeiro	Rua Desembargador Perez Lima	RJ	-23.0141101	-43.3079711	3	1	2	Apartamento	Venda	1850000
110	Barra da Tijuca	Rio de Janeiro	Rua Jacarandás da Península	RJ	-22.988612	-43.350626	2	2	2	Apartamento	Venda	1104793
68	Barra da Tijuca	Rio de Janeiro	Avenida DI Cavalcanti	RJ	-22.9980081	-43.4152111	2	1	1	Apartamento	Venda	580000
76	Ipanema	Rio de Janeiro	Rua Alberto de Campos	RJ	-22.9813387	-43.1991054	2	1	1	Apartamento	Venda	850000
146	Barra da Tijuca	Rio de Janeiro	Avenida Flamboyants da Península	RJ	-22.9896669	-43.3512914	4	1	2	Apartamento	Venda	1290000
100	Barra da Tijuca	Rio de Janeiro	Avenida Lucio Costa	RJ	-23.010187	-43.3429376	2	2	2	Apartamento	Venda	990000
68	Jacarepaguá	Rio de Janeiro	Rua Aroazes	RJ	-22.9707213	-43.3908712	2	1	1	Apartamento	Venda	445000
60	Tijuca	Rio de Janeiro	Rua Conde de Bonfim	RJ	-22.9346407	-43.2435171	1	0	1	Apartamento	Venda	340000
114	Barra da Tijuca	Rio de Janeiro	Avenida Embaixador Abelardo Bueno	RJ	-22.9729051	-43.366458	2	1	1	Apartamento	Venda	735100
140	Flamengo	Rio de Janeiro	Praia do Flamengo	RJ	-22.9339077	-43.1746269	3	0	1	Apartamento	Venda	1800000
70	Quintino Bocaiúva	Rio de Janeiro	Avenida Dom Hélder Câmara	RJ	-22.8844409	-43.3146766	3	1	1	Apartamento	Venda	318000
181	Recreio dos Bandeirantes	Rio de Janeiro	Rua Professor Motta Maia	RJ	-23.0201576	-43.4559277	4	2	3	Apartamento	Venda	1000000
94	Freguesia (Jacarepaguá)	Rio de Janeiro	Rua Geminiano Gois	RJ	-22.9278094	-43.339657	2	1	1	Apartamento	Venda	500000
149	Jardim Botânico	Rio de Janeiro	Rua Pio Correia	RJ	-22.9594714	-43.2033031	3	2	2	Apartamento	Venda	1800000
320	Jardim Oceânico	Rio de Janeiro	Avenida Pepe	RJ	-23.0129403	-43.3042714	4	3	5	Apartamento	Venda	4850000
84	Freguesia (Jacarepaguá)	Rio de Janeiro	Rua Joaquim Pinheiro	RJ	-22.9335983	-43.3349694	2	1	1	Apartamento	Venda	450000
105	Barra da Tijuca	Rio de Janeiro	Rua Lagoa das Garças	RJ	-23.0098391	-43.4238344	3	3	2	Apartamento	Venda	899000
71	Tijuca	Rio de Janeiro	Rua Doutor Oscar Pimentel	RJ	-22.9249916	-43.2191217	2	0	0	Apartamento	Venda	294999
147	Recreio dos Bandeirantes	Rio de Janeiro	Estrada Benvindo de Novaes	RJ	-23.0115208	-43.4620287	3	1	1	Apartamento	Venda	799000
88	Barra da Tijuca	Rio de Janeiro	Avenida Lúcio Costa	RJ	-23.0119615	-43.3218109	2	1	1	Apartamento	Venda	1399993
171	Copacabana	Rio de Janeiro	Rua Domingos Ferreira	RJ	-22.9747273	-43.1882774	4	1	1	Apartamento	Venda	1800000
90	Leblon	Rio de Janeiro	Rua Almirante Guilhem	RJ	-22.982975	-43.2190591	3	0	1	Apartamento	Venda	1550000
90	Laranjeiras	Rio de Janeiro	Rua Pereira da Silva	RJ	-22.9304337	-43.187836	3	1	1	Apartamento	Venda	1100000
200	Copacabana	Rio de Janeiro	Avenida Atlântica	RJ	-22.9755896	-43.1884186	3	1	1	Apartamento	Venda	3750000
68	Gávea	Rio de Janeiro	Praca Santos Dumont	RJ	-22.9742585	-43.2272246	2	0	0	Apartamento	Venda	790000
176	Barra da Tijuca	Rio de Janeiro	Avenida Lúcio Costa	RJ	-23.0105591	-43.3719558	2	1	3	Apartamento	Venda	1490000
70	Cachambi	Rio de Janeiro	Rua Ferreira de Andrade	RJ	-22.8913281	-43.2712867	3	1	1	Apartamento	Venda	576000
91	Freguesia (Jacarepaguá)	Rio de Janeiro	Rua Tirol	RJ	-22.9394162	-43.3337241	2	0	1	Apartamento	Venda	495000
75	Copacabana	Rio de Janeiro	Rua Hilário de Gouveia	RJ	-22.967693	-43.184532	2	0	0	Apartamento	Venda	630000
116	Pechincha	Rio de Janeiro	Rua Pajura	RJ	-22.9270807	-43.3648892	2	1	1	Apartamento	Venda	450000
64	Camorim	Rio de Janeiro	Estrada de Camorim	RJ	-22.9700655	-43.4230345	3	1	1	Apartamento	Venda	295182
70	Tijuca	Rio de Janeiro	Rua Afonso Pena	RJ	-22.916013	-43.2194874	2	0	1	Apartamento	Venda	680000
63	Tijuca	Rio de Janeiro	Rua Uruguai	RJ	-22.9352401	-43.2393691	1	0	1	Apartamento	Venda	430000
66	Recreio dos Bandeirantes	Rio de Janeiro	Avenida Salvador Allende	RJ	-26.9225709	-49.0606445	2	1	1	Apartamento	Venda	480000
108	Recreio dos Bandeirantes	Rio de Janeiro	Rua Professor Taciel Cylleno	RJ	-23.0151452	-43.4486897	3	1	2	Apartamento	Venda	775000
73	Vila Isabel	Rio de Janeiro	Rua Oito de Dezembro	RJ	-22.9106681	-43.2416167	2	1	1	Apartamento	Venda	650000
75	Botafogo	Rio de Janeiro	Praia Botafogo	RJ	-22.9497255	-43.1819538	2	0	1	Apartamento	Venda	789000
133	Flamengo	Rio de Janeiro	Praia do Flamengo	RJ	-22.9257177	-43.1728149	3	0	0	Apartamento	Venda	940000
55	Copacabana	Rio de Janeiro	Rua Raul Pompéia	RJ	-22.9841595	-43.1917783	1	0	0	Apartamento	Venda	570000
190	Ilha do Governador	Rio de Janeiro	Rua Juraci Camargo	RJ	-22.8131655	-43.2134744	4	1	2	Apartamento	Venda	950000
742	Botafogo	Rio de Janeiro	Avenida Pasteur	RJ	-26.9225117	-49.0607072	4	1	2	Apartamento	Venda	6400000
63	Praça da Bandeira	Rio de Janeiro	Rua do Matoso	RJ	-22.9143101	-43.212846	2	1	1	Apartamento	Venda	475000
80	Grajaú	Rio de Janeiro	Rua Caruaru	RJ	-22.9189869	-43.2631051	2	1	1	Apartamento	Venda	550000
50	Engenho de Dentro	Rio de Janeiro	Rua Doutor Padilha	RJ	-22.8932691	-43.2894238	2	1	1	Apartamento	Venda	299000
67	Cachambi	Rio de Janeiro	Rua Miguel Cervantes	RJ	-26.9225117	-49.0607072	3	1	1	Apartamento	Venda	295000
74	Maracanã	Rio de Janeiro	Avenida Maracanã	RJ	-22.9130826	-43.2268412	1	0	1	Apartamento	Venda	430000
136	Barra da Tijuca	Rio de Janeiro	Avenida Hildebrando de Araújo Góes	RJ	-22.9990702	-43.3867886	3	3	2	Apartamento	Venda	1480000
76	Vila Isabel	Rio de Janeiro	Rua Ângelo Bittencourt	RJ	-22.917856	-43.261517	2	1	1	Apartamento	Venda	600000
75	Recreio dos Bandeirantes	Rio de Janeiro	Rua Silvia Pozzano	RJ	-23.0075233	-43.4850628	2	1	1	Apartamento	Venda	410000
85	Lagoa	Rio de Janeiro	Rua Negreiros Lobato	RJ	-22.9675614	-43.2026112	2	1	1	Apartamento	Venda	1550000
209	Copacabana	Rio de Janeiro	Rua Miguel Lemos	RJ	-22.9778228	-43.1915536	3	2	1	Apartamento	Venda	1500000
60	Vila da Penha	Rio de Janeiro	Avenida Meriti	RJ	-22.8451007	-43.3123112	2	0	0	Apartamento	Venda	315000
100	Laranjeiras	Rio de Janeiro	Rua das Laranjeiras	RJ	-22.932965	-43.1841611	3	1	2	Apartamento	Venda	1250000
89	Tijuca	Rio de Janeiro	Rua Paraíba	RJ	-22.9121223	-43.2167178	3	1	1	Apartamento	Venda	619000
74	Tijuca	Rio de Janeiro	Rua Barão de Itapagipe	RJ	-22.9231386	-43.2169901	2	0	1	Apartamento	Venda	480000
82	Ipanema	Rio de Janeiro	Rua Visconde de Pirajá	RJ	-22.9841057	-43.209991	2	1	0	Apartamento	Venda	1500000
50	São Cristóvão	Rio de Janeiro	Rua General Bruce	RJ	-22.8955376	-43.222371	2	0	1	Apartamento	Venda	280000
149	Tijuca	Rio de Janeiro	Rua Professor Gabizo	RJ	-22.9203441	-43.2191916	3	1	1	Apartamento	Venda	950000
191	Barra da Tijuca	Rio de Janeiro	Rua General Ivan Raposo	RJ	-23.0119632	-43.3139228	3	2	3	Apartamento	Venda	1750000
75	Leme	Rio de Janeiro	Rua Gustavo Sampaio	RJ	-26.9225117	-49.0607072	2	0	0	Apartamento	Venda	950000
244	Copacabana	Rio de Janeiro	Rua Maracanaú	RJ	-22.9638235	-43.1815524	4	3	3	Apartamento	Venda	3345100
100	Copacabana	Rio de Janeiro	Avenida Nossa Senhora de Copacabana	RJ	-22.9749222	-43.1897455	3	1	0	Apartamento	Venda	1300000
240	Leblon	Rio de Janeiro	Rua João Líra	RJ	-22.986443	-43.2216869	3	0	2	Apartamento	Venda	7800000
75	Ipanema	Rio de Janeiro	Rua Nascimento Silva	RJ	-22.9823826	-43.2020925	2	0	1	Apartamento	Venda	1250000
75	Botafogo	Rio de Janeiro	Rua Dona Mariana	RJ	-22.95315826	-43.18848303	2	0	0	Apartamento	Venda	799000
70	Leblon	Rio de Janeiro	Avenida Ataulfo de Paiva	RJ	-22.9835398	-43.2160536	2	0	0	Apartamento	Venda	1600000
60	Pechincha	Rio de Janeiro	Rua Samuel das Neves	RJ	-22.9282366	-43.3593726	2	1	1	Apartamento	Venda	310000
73	Copacabana	Rio de Janeiro	Rua Barata Ribeiro	RJ	-22.9720434	-43.1898495	2	1	0	Apartamento	Venda	735000
123	Gávea	Rio de Janeiro	Rua Professor Manuel Ferreira	RJ	-22.9773264	-43.2285123	3	1	2	Apartamento	Venda	2250000
95	Laranjeiras	Rio de Janeiro	Rua das Laranjeiras	RJ	-22.938383	-43.1916196	2	1	1	Apartamento	Venda	960000
148	Recreio dos Bandeirantes	Rio de Janeiro	Rua Desembargador Paulo Alonso	RJ	-26.9225709	-49.0606445	2	2	3	Apartamento	Venda	695000
32	Praça Seca	Rio de Janeiro	Rua Doutor Carlos Gross	RJ	-22.892336	-43.3438675	1	0	0	Apartamento	Venda	84000
132	Barra da Tijuca	Rio de Janeiro	Rua Bauhíneas da Península	RJ	-26.9225117	-49.0607072	2	1	2	Apartamento	Venda	930000
130	Tijuca	Rio de Janeiro	Avenida Maracanã	RJ	-22.932473	-43.24264	3	1	1	Apartamento	Venda	750000
63	Jacarepaguá	Rio de Janeiro	Estrada dos Bandeirantes	RJ	-22.9642557	-43.4057724	3	1	0	Apartamento	Venda	285000
60	Engenho Novo	Rio de Janeiro	Rua Álvaro Seixas	RJ	-22.8946184	-43.2624917	2	0	0	Apartamento	Venda	249000
85	Méier	Rio de Janeiro	Rua Paulo Silva Araújo	RJ	-22.8986609	-43.2880487	2	0	2	Apartamento	Venda	384000
116	Botafogo	Rio de Janeiro	Rua Barão de Itambi	RJ	-22.9401632	-43.1799723	3	0	1	Apartamento	Venda	1090000
59	Riachuelo	Rio de Janeiro	Rua Barbosa da Silva	RJ	-22.8980099	-43.2538314	2	1	1	Apartamento	Venda	327000
119	Recreio dos Bandeirantes	Rio de Janeiro	Avenida Tim Maia	RJ	-23.0032929	-43.4842904	4	4	2	Apartamento	Venda	679990
59	Riachuelo	Rio de Janeiro	Rua Barbosa da Silva	RJ	-22.8980022	-43.2537823	2	1	1	Apartamento	Venda	298000
270	Barra da Tijuca	Rio de Janeiro	Rua Zoila de Abreu Teixeira	RJ	-23.0014814	-43.3585769	2	1	0	Apartamento	Venda	2700000
77	Leblon	Rio de Janeiro	Rua Cupertino Durão	RJ	-22.98376	-43.220585	2	0	0	Apartamento	Venda	1400000
117	Barra da Tijuca	Rio de Janeiro	Rua dos Jacarandás da Península	RJ	-22.9893419	-43.3483764	2	2	3	Apartamento	Venda	1179000
52	Engenho de Dentro	Rio de Janeiro	Rua Henrique Scheid	RJ	-22.8896686	-43.2904257	2	1	1	Apartamento	Venda	280000
52	Camorim	Rio de Janeiro	Estrada de Camorim	RJ	-26.9225709	-49.0606445	2	1	1	Apartamento	Venda	255000
68	Pechincha	Rio de Janeiro	Rua Professor Henrique Costa	RJ	-22.9297641	-43.3614368	2	1	1	Apartamento	Venda	340000
67	Barra da Tijuca	Rio de Janeiro	Avenida Lúcio Costa	RJ	-23.010677	-43.3602703	1	0	1	Apartamento	Venda	620000
50	Copacabana	Rio de Janeiro	Rua Belfort Roxo	RJ	-22.9635654	-43.1765581	2	0	0	Apartamento	Venda	590000
37	Copacabana	Rio de Janeiro	Rua Domingos Ferreira	RJ	-22.9743764	-43.1877583	1	1	1	Apartamento	Venda	675000
57	Jardim Botânico	Rio de Janeiro	Rua Marquês de Sabará	RJ	-22.966093	-43.2324441	2	0	0	Apartamento	Venda	489000
123	Recreio dos Bandeirantes	Rio de Janeiro	Avenida José Luiz Ferraz	RJ	-23.0214327	-43.4865062	3	2	2	Apartamento	Venda	850000
98	Andaraí	Rio de Janeiro	Rua Maxwell	RJ	-22.9217664	-43.2470581	3	1	1	Apartamento	Venda	1290000
95	Botafogo	Rio de Janeiro	Rua Pinheiro Guimarães	RJ	-22.9585276	-43.1940117	3	1	1	Apartamento	Venda	1210000
34	Lapa	Rio de Janeiro	Avenida Mem de Sá	RJ	-22.9118228	-43.1887297	1	0	0	Apartamento	Venda	299000
124	Tijuca	Rio de Janeiro	Rua Almirante Cochrane	RJ	-22.9197975	-43.2261305	3	2	1	Apartamento	Venda	695000
72	Barra da Tijuca	Rio de Janeiro	Rua Sérgio Camargo	RJ	-26.9225709	-49.0606445	2	1	1	Apartamento	Venda	480000
74	Copacabana	Rio de Janeiro	Rua Sá Ferreira	RJ	-22.9807241	-43.1913727	2	0	0	Apartamento	Venda	780000
351	Recreio dos Bandeirantes	Rio de Janeiro		RJ	-14.235004	-51.92528	3	1	2	Apartamento	Venda	980000
54	Piedade	Rio de Janeiro	Rua Figueiredo Pimentel	RJ	-22.8836117	-43.3071205	2	0	1	Apartamento	Venda	195000
65	Vicente de Carvalho	Rio de Janeiro	Avenida Vicente de Carvalho	RJ	-26.9225117	-49.0607072	2	0	1	Apartamento	Venda	200000
106	Maracanã	Rio de Janeiro	Rua São Francisco Xavier	RJ	-22.9152371	-43.2322147	3	0	2	Apartamento	Venda	590000
46	Botafogo	Rio de Janeiro	Rua Marquês de Olinda	RJ	-22.9439559	-43.1824227	1	0	0	Apartamento	Venda	599000
70	Copacabana	Rio de Janeiro	Rua Barata Ribeiro	RJ	-22.9768326	-43.192744	2	0	0	Apartamento	Venda	800000
75	Rio Comprido	Rio de Janeiro	Rua Conselheiro Barros	RJ	-22.9224829	-43.2130667	2	0	1	Apartamento	Venda	480000
125	Jardim Guanabara	Rio de Janeiro	Rua Jaime Ovale	RJ	-22.8114659	-43.1960305	3	1	2	Apartamento	Venda	850000
30	Flamengo	Rio de Janeiro	Rua Senador Vergueiro	RJ	-22.9360841	-43.1757093	1	0	0	Apartamento	Venda	480000
175	Barra da Tijuca	Rio de Janeiro	Avenida Lúcio Costa	RJ	-23.010404	-43.3705472	3	2	1	Apartamento	Venda	1650000
65	Copacabana	Rio de Janeiro	Rua Duvivier	RJ	-22.9650949	-43.1780534	2	0	1	Apartamento	Venda	850000
99	Urca	Rio de Janeiro	Avenida São Sebastião	RJ	-22.945463	-43.1602615	3	0	0	Apartamento	Venda	1300000
85	Vila da Penha	Rio de Janeiro	Rua Tomás Lopes	RJ	-22.844164	-43.3006	2	0	1	Apartamento	Venda	315000
82	Tijuca	Rio de Janeiro	Rua Pereira de Almeida	RJ	-22.9145244	-43.211067	3	1	1	Apartamento	Venda	619999
60	Vila Isabel	Rio de Janeiro	Rua Teodoro da Silva	RJ	-22.919177	-43.2534681	2	1	1	Apartamento	Venda	445000
250	Ipanema	Rio de Janeiro	Rua Almirante Saddock de Sá	RJ	-22.98081	-43.2042684	4	1	3	Apartamento	Venda	4200000
135	Leblon	Rio de Janeiro	Rua Humberto de Campos	RJ	-22.9068467	-43.1728965	4	1	2	Apartamento	Venda	3000000
160	Flamengo	Rio de Janeiro	Praia do Flamengo	RJ	-22.9350806	-43.1744539	3	1	0	Apartamento	Venda	1700000
66	Madureira	Rio de Janeiro	Rua Andrade Figueira	RJ	-22.8700136	-43.3340573	2	0	1	Apartamento	Venda	198000
88	Recreio dos Bandeirantes	Rio de Janeiro	Estrada do Pontal	RJ	-23.0309651	-43.4811844	2	1	2	Apartamento	Venda	795000
134	Copacabana	Rio de Janeiro	Rua Constante Ramos	RJ	-22.9719787	-43.1921215	3	1	0	Apartamento	Venda	1500000
91	Recreio dos Bandeirantes	Rio de Janeiro	Rua Silvia Pozzano	RJ	-23.0052391	-43.4821647	3	3	2	Apartamento	Venda	479300
100	Copacabana	Rio de Janeiro	Rua Domingos Ferreira	RJ	-22.973921	-43.1877078	3	1	1	Apartamento	Venda	1200001
65	Cachambi	Rio de Janeiro	Rua Álvares Cabral	RJ	-22.892622	-43.270658	2	1	1	Apartamento	Venda	330000
210	Grajaú	Rio de Janeiro	Rua Campinas	RJ	-22.92539714	-43.25810372	4	1	3	Apartamento	Venda	989999
160	Lagoa	Rio de Janeiro	Avenida Epitácio Pessoa	RJ	-22.9656654	-43.203227	4	1	2	Apartamento	Venda	2900000
110	Ipanema	Rio de Janeiro	Rua Vinícius de Moraes	RJ	-22.9836855	-43.2225219	2	1	1	Apartamento	Venda	2080000
90	Tijuca	Rio de Janeiro	Rua Conde de Bonfim	RJ	-22.9314212	-43.239417	2	1	0	Apartamento	Venda	500000
40	Cordovil	Rio de Janeiro	Rua Cordovil	RJ	-22.8231499	-43.3088161	1	0	0	Apartamento	Venda	169000
150	Flamengo	Rio de Janeiro	Avenida Oswaldo Cruz	RJ	-22.9410224	-43.1760966	3	1	1	Apartamento	Venda	2300000
155	Leme	Rio de Janeiro	Rua General Ribeiro da Costa	RJ	-22.9617997	-43.1686473	3	0	1	Apartamento	Venda	1600000
100	Leblon	Rio de Janeiro	Rua General Venâncio Flores	RJ	-22.9850766	-43.2248521	3	0	1	Apartamento	Venda	2100000
106	Barra da Tijuca	Rio de Janeiro	Avenida das Acácias da Península	RJ	-22.9893036	-43.35627	2	2	1	Apartamento	Venda	1100000
89	Leblon	Rio de Janeiro	Avenida Visconde de Albuquerque	RJ	-22.9833306	-43.2279002	2	1	2	Apartamento	Venda	2350000
67	Quintino Bocaiúva	Rio de Janeiro	Avenida Dom Hélder Câmara	RJ	-22.884634	-43.3144882	3	2	1	Apartamento	Venda	322000
285	Barra da Tijuca	Rio de Janeiro	Avenida Flamboyants da Península	RJ	-14.235004	-51.92528	4	3	3	Apartamento	Venda	2170000
340	Recreio dos Bandeirantes	Rio de Janeiro	Rua Hugo Panasco Alvim	RJ	-23.0194698	-43.4585382	2	1	3	Apartamento	Venda	1100000
103	Freguesia (Jacarepaguá)	Rio de Janeiro	Rua Tirol	RJ	-22.9400579	-43.3381147	3	1	2	Apartamento	Venda	530000
93	Botafogo	Rio de Janeiro	Rua Dona Mariana	RJ	-22.9554179	-43.1876156	2	1	1	Apartamento	Venda	1100000
113	Recreio dos Bandeirantes	Rio de Janeiro	Rua Murilo de Araújo	RJ	-23.0209988	-43.4620693	3	1	2	Apartamento	Venda	870000
105	Botafogo	Rio de Janeiro	Rua General Polidoro	RJ	-22.9548321	-43.1843503	3	1	2	Apartamento	Venda	1490000
200	Ipanema	Rio de Janeiro	Rua Visconde de Pirajá	RJ	-22.9841421	-43.2069205	3	2	1	Apartamento	Venda	3600000
220	Copacabana	Rio de Janeiro	Rua Raul Pompéia	RJ	-26.9225117	-49.0607072	4	0	1	Apartamento	Venda	1490000
300	Lagoa	Rio de Janeiro	Avenida Borges de Medeiros	RJ	-22.9627038	-43.2094358	4	2	3	Apartamento	Venda	5900000
108	Campo Grande	Rio de Janeiro	Avenida Cesário de Melo	RJ	-22.9076391	-43.5659289	2	1	1	Apartamento	Venda	356200
52	Rocha Miranda	Rio de Janeiro	Rua Concepcion	RJ	-22.8570279	-43.351561	2	0	2	Apartamento	Venda	215000
65	Quintino Bocaiúva	Rio de Janeiro	Rua Clarimundo de Melo	RJ	-22.8902352	-43.3266334	3	0	1	Apartamento	Venda	199000
169	Freguesia (Jacarepaguá)	Rio de Janeiro	Estrada do Bananal	RJ	-22.9402785	-43.3321203	3	0	2	Apartamento	Venda	640000
103	Leblon	Rio de Janeiro	Rua Humberto de Campos	RJ	-22.9821562	-43.2225218	3	0	1	Apartamento	Venda	2250000
241	Leblon	Rio de Janeiro	Rua Almirante Guilhem	RJ	-22.9853841	-43.2184572	4	1	2	Apartamento	Venda	5500000
205	Ipanema	Rio de Janeiro	Rua Gomes Carneiro	RJ	-22.9859726	-43.1965879	3	1	1	Apartamento	Venda	1980000
110	Barra da Tijuca	Rio de Janeiro	Avenida Prefeito Dulcídio Cardoso	RJ	-23.0053633	-43.3719338	3	1	2	Apartamento	Venda	1100000
230	Jardim Guanabara	Rio de Janeiro	Rua Quirino dos Santos	RJ	-22.8175736	-43.1931512	4	2	4	Apartamento	Venda	990000
330	Copacabana	Rio de Janeiro	Avenida Atlântica	RJ	-22.9664279	-43.177643	4	2	0	Apartamento	Venda	3500000
165	Flamengo	Rio de Janeiro	Avenida Oswaldo Cruz	RJ	-22.940934	-43.17671	3	0	1	Apartamento	Venda	1780000
132	Recreio dos Bandeirantes	Rio de Janeiro	Rua Rabino Henrique Lemle	RJ	-23.0170009	-43.4535475	3	1	2	Apartamento	Venda	1050000
75	Leme	Rio de Janeiro	Rua Anchieta	RJ	-26.9225117	-49.0607072	2	0	0	Apartamento	Venda	780000
60	Padre Miguel	Rio de Janeiro	Rua Caridade	RJ	-14.235004	-51.92528	2	0	0	Apartamento	Venda	173000
102	Tijuca	Rio de Janeiro	Rua Dezoito de Outubro	RJ	-22.9362098	-43.2432855	3	1	2	Apartamento	Venda	649000
70	Barra da Tijuca	Rio de Janeiro	Avenida Prefeito Dulcídio Cardoso	RJ	-23.0070129	-43.3328665	2	1	1	Apartamento	Venda	820000
101	Tijuca	Rio de Janeiro	Rua Uruguai	RJ	-26.9225117	-49.0607072	3	0	1	Apartamento	Venda	550000
75	Tijuca	Rio de Janeiro	Rua Carlos de Vasconcelos	RJ	-22.9261646	-43.2285764	2	1	2	Apartamento	Venda	660000
57	Bonsucesso	Rio de Janeiro	Rua Cardoso de Morais	RJ	-22.858181	-43.2572138	2	0	0	Apartamento	Venda	260000
100	Leblon	Rio de Janeiro	Rua Rainha Guilhermina	RJ	-22.98436	-43.2268	3	1	1	Apartamento	Venda	1850000
154	Barra da Tijuca	Rio de Janeiro	Avenida Flamboyants da Península	RJ	-22.9898342	-43.3514073	3	3	2	Apartamento	Venda	1700010
70	Lagoa	Rio de Janeiro	Rua Fonte da Saudade	RJ	-22.9607405	-43.2027225	1	0	1	Apartamento	Venda	950000
90	Laranjeiras	Rio de Janeiro	Rua Pinheiro Machado	RJ	-22.9348454	-43.1841028	3	0	1	Apartamento	Venda	750000
78	Copacabana	Rio de Janeiro	Rua Santa Clara	RJ	-22.965643	-43.1924781	2	1	0	Apartamento	Venda	790000
195	Leblon	Rio de Janeiro	Rua Dias Ferreira	RJ	-22.9831813	-43.2265568	3	1	1	Apartamento	Venda	3300000
